"granularity","RX_position","TX_position","total_packets","csi_packets_used","Processing_time","memory_usage(GB)","true_phi","true_theta","top_aoa_phi","top_aoa_theta","top_aoa_confidence","top_aoa_total_error","top_aoa_error_phi","top_aoa_error_theta","closest_aoa_phi","closest_aoa_theta","closest_aoa_confidence","closest_aoa_total_error","closest_aoa_phi_error","closest_theta_error"
"360x180","P0","P1",930,814.00,4.89,12.57,177.57,73.74       ,173.98,113.63,40.00,40.05,3.59,-39.89,    177.99,105.59,30.17,-0.42,-0.42,-31.84
"360x180","P0","P1",965,751.00,4.49,12.57,177.23,74.59       ,172.98,64.36,38.77,11.08,4.25,10.23,    176.99,72.40,27.57,0.24,0.24,2.18
"360x180","P0","P1",965,739.00,4.42,12.57,177.34,74.58       ,171.98,63.35,37.64,12.44,5.36,11.23,    175.99,71.40,27.13,1.35,1.35,3.18
"360x180","P0","P1",965,745.00,4.51,12.57,177.28,74.56       ,172.98,64.36,39.79,11.07,4.30,10.20,    176.99,72.40,28.45,0.29,0.29,2.16
"360x180","P0","P1",965,762.00,4.62,12.57,177.29,74.64       ,170.97,62.35,33.92,13.82,6.31,12.30,    175.99,70.39,24.24,1.30,1.30,4.25
"360x180","P0","P2",965,743.00,4.43,11.72,134.86,78.44       ,134.87,76.42,25.85,2.01,-0.01,2.01,    134.87,76.42,25.85,-0.01,-0.01,2.01
"360x180","P0","P2",983,710.00,4.25,11.72,134.92,78.44       ,131.87,78.44,18.43,3.05,3.05,0.00,    135.88,100.56,14.22,-0.96,-0.96,-22.12
"360x180","P0","P2",965,721.00,4.34,11.72,134.71,78.42       ,134.87,76.42,31.26,2.00,-0.16,2.00,    134.87,76.42,31.26,-0.16,-0.16,2.00
"360x180","P0","P2",965,730.00,4.37,11.85,134.92,78.41       ,133.87,101.56,24.52,23.18,1.05,-23.16,    133.87,101.56,24.52,1.05,1.05,-23.16
"360x180","P0","P2",965,729.00,4.40,11.93,134.84,78.43       ,134.87,76.42,28.48,2.01,-0.04,2.01,    134.87,76.42,28.48,-0.04,-0.04,2.01
